                         Domain Name|   Creation Date|                                                      Registrar
                 android-spinner.com|      2017-09-18|                                                     1 API GMBH
                 android-spy-app.com|      2010-07-17|                                            TUCOWS DOMAINS INC.
                 android-spy-app.com|      2010-07-17|                                            TUCOWS DOMAINS INC.
            android-spy-software.net|      2016-12-01|                                                 NAME.COM, INC.
                     android-spy.net|      2010-05-18|                                            TUCOWS DOMAINS INC.
                     android-spy.org|      2011-05-11|                                         WILD WEST DOMAINS, LLC
                     android-ssh.com|      2018-11-22|                                               GODADDY.COM, LLC
                  android-stream.com|      2017-04-14|                                INTERNET DOMAIN SERVICE BS CORP
        android-studio-tutorials.com|      2017-11-17|                                                AUTOMATTIC INC.
             android-supermarket.com|      2012-03-02|                                                 NAME.COM, INC.
                 android-support.com|      2017-09-30|                                            TUCOWS DOMAINS INC.
                 android-support.com|      2017-09-30|                                            TUCOWS DOMAINS INC.
                android-support.info|      2013-12-26|                                               GODADDY.COM, LLC
                    android-sync.com|      2010-03-23|                                                 DREAMHOST, LLC
                     android-sys.com|      2016-03-14|                                         AMAZON REGISTRAR, INC.
                     android-sys.com|      2019-06-05|                                                   DYNADOT, LLC
              android-system.support|      2017-05-25|                                 SOLUCIONES CORPORATIVAS IP, SL
                 android-systems.com|      2005-05-11|                              GMO INTERNET, INC. DBA ONAMAE.COM
                     android-tab.com|      2016-01-04|                                INTERNET DOMAIN SERVICE BS CORP
             android-tablet-shop.com|      2010-06-10|                                               GODADDY.COM, LLC
                  android-tablet.com|      2009-10-26|                                                 DREAMHOST, LLC
                     android-tec.org|      2012-02-09|                            GMO INTERNET, INC. D/B/A ONAMAE.COM
   android-text-message-recovery.com|      2013-09-06|                                                 NAME.COM, INC.
            android-thehardway.co.in|      2016-11-23|                             WILD WEST DOMAINS, LLC (R102-AFIN)
                    android-time.com|      2012-04-09|                                               GODADDY.COM, LLC
                    android-time.org|      2017-01-07|                                               GODADDY.COM, LLC
                android-top-app.info|      2018-04-13|   LIMITED LIABILITY COMPANY "REGISTRAR OF DOMAIN NAMES REG.RU"
              android-top-games.info|      2017-09-08|   LIMITED LIABILITY COMPANY "REGISTRAR OF DOMAIN NAMES REG.RU"
                     android-top.com|      2016-03-14|                                         AMAZON REGISTRAR, INC.
                     android-top.xyz|      2016-11-25|                          REGISTRAR OF DOMAIN NAMES REG.RU, LLC
                  android-topics.com|      2015-02-12|                                INTERNET DOMAIN SERVICE BS CORP
             android-touchscreen.com|      2009-10-26|                                                 DREAMHOST, LLC
                    android-town.com|      2018-12-12|                                               GODADDY.COM, LLC
                android-transfer.net|      2014-06-13|                                                 NAME.COM, INC.
                  android-tricks.com|      2018-11-05|                           REGISTRAR OF DOMAIN NAMES REG.RU LLC
                   android-tricks.in|      2016-12-22|                             WILD WEST DOMAINS, LLC (R102-AFIN)
                  android-tricks.org|      2014-10-07|                                                    TUCOWS INC.
        android-tv-box-quad-core.com|      2016-05-12|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                  android-tv-box.net|      2016-02-24|                                           MESH DIGITAL LIMITED
         android-tv-boxes-canada.com|      2017-08-28|                                                DOMAIN.COM, LLC
           android-tv-boxes-r-us.com|      2017-01-07|                                            TUCOWS DOMAINS INC.
                   android-tv-mx.com|      2014-04-28|                                               GODADDY.COM, LLC
                 android-tv-xbmc.com|      2014-04-28|                                               GODADDY.COM, LLC
                    android-tv.store|      2016-11-07|                                                  GRANSY S.R.O.
                      android-tv.top|      2016-11-07|                                     GRANSY S R O DBA SUBREG CZ
                       android-tv.us|      2015-12-19|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
          android-tvboxes-canada.com|      2017-08-28|                                                DOMAIN.COM, LLC
              android-tvboxes.online|      2016-03-22|                                               MESH DIGITAL LTD
            android-united.community|      2016-07-03|                                            TUCOWS DOMAINS INC.
                  android-unlock.org|      2016-11-29|                                                  NAME.COM, LLC
                  android-update.org|      2016-11-28|                                                  NAME.COM, LLC
                 android-updatez.com|      2018-11-01|                                           DANESCO TRADING LTD.
                android-updating.com|      2019-07-15|                                            URL SOLUTIONS, INC.
                      android-us.com|      2017-09-30|                                            TUCOWS DOMAINS INC.
                      android-us.com|      2017-09-30|                                            TUCOWS DOMAINS INC.
    android-user-notification.online|      2017-11-12|                          REGISTRAR OF DOMAIN NAMES REG.RU, LLC
        android-velocityofficial.com|      2018-11-01|                                            TUCOWS DOMAINS INC.
        android-velocityofficial.com|      2018-11-01|                                            TUCOWS DOMAINS INC.
                 android-viruses.com|      2019-06-24|                                               GODADDY.COM, LLC
            android-viruswarning.xyz|      2017-03-23|                                    TLD REGISTRAR SOLUTIONS LTD
                   android-vzlom.net|      2017-04-19|                           REGISTRAR OF DOMAIN NAMES REG.RU LLC
                 android-warning.com|      2017-09-01|                                INTERNET DOMAIN SERVICE BS CORP
                 android-warning.xyz|      2017-02-20|                                    TLD REGISTRAR SOLUTIONS LTD
              android-wear-store.com|      2019-03-25|                                               GODADDY.COM, LLC
                     android-web.net|      2016-10-13|                                INTERNET DOMAIN SERVICE BS CORP
                android-whatsapp.com|      2017-11-30|                                            TUCOWS DOMAINS INC.
                android-widgets.mobi|      2012-09-14|                                               GODADDY.COM, LLC
                  android-world.info|      2017-05-24|                                               GODADDY.COM, LLC
                       android-x.com|      2019-08-06|                                INTERNET DOMAIN SERVICE BS CORP
                       android-x.xyz|      2016-12-31|                                    TLD REGISTRAR SOLUTIONS LTD
                     android-x64.com|      2014-01-07|                                 SOLUCIONES CORPORATIVAS IP, SL
                     android-xda.com|      2018-10-31|                                            TUCOWS DOMAINS INC.
                       android-z.com|      2017-12-02|                           REGISTRAR OF DOMAIN NAMES REG.RU LLC
                     android-zip.com|      2018-05-31|                                            TUCOWS DOMAINS INC.
                    android-zone.com|      2008-12-20|                                                123-REG LIMITED
                    android-zoom.com|      2018-04-30|                                            TUCOWS DOMAINS INC.
                        android.asia|      2008-08-13|                                               GODADDY.COM, LLC
                          android.cc|      1999-06-07|                                                     ENOM, INC.
                       android.co.jp|      2003-02-27|                                                               
                          android.ee|      2010-07-04|                                                 ZONE MEDIA OÃœ
                      android.net.au|                |                                          TPP WHOLESALE PTY LTD
                       android17.com|      2016-10-04|                                                  CV. JOGJACAMP
                       androidad.com|      2012-01-26|                                            NET 4 INDIA LIMITED
                      androidaid.com|      2017-03-24|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
          androidantivirusreview.com|      2014-05-25|                                               GODADDY.COM, LLC
         androidantivirusreviews.com|      2014-06-13|                                               GODADDY.COM, LLC
                    androidapk.my.id|      2017-01-06|                                               DIGITAL REGISTRA
                  androidapklink.com|      2019-05-02|                                          BIGROCK SOLUTIONS LTD
                      androidarc.com|      2017-11-17|                                      BIGROCK SOLUTIONS LIMITED
                   androidardent.com|      2012-04-04|                                      BIGROCK SOLUTIONS LIMITED
                 androidatsomesh.net|      2017-05-09|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                 androidbeautiful.me|      2013-11-11|                                                   NAME.COM LLC
                  androidblender.net|      2017-05-09|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
                     androidblog.com|      2006-12-28|                                               GODADDY.COM, LLC
                    androidblogs.com|      2006-12-28|                                               GODADDY.COM, LLC
                  androidblowjob.com|      2015-03-11|                                               GODADDY.COM, LLC
                     androidbook.xyz|      2017-07-25|                                                 HOSTINGER, UAB
                  androidbubbles.com|      2011-12-17|                                                ONLINENIC, INC.
                      androidcamp.io|      2016-05-24|                                                      GANDI SAS
                    androidcell.info|      2017-02-15|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
            androidceo-indonesia.com|      2017-04-15|                                                  HOSTINGER UAB
             androidceoindonesia.com|      2016-12-15|                                         CV. RUMAHWEB INDONESIA
          androidcepuygulamalari.com|      2013-11-14|                                               GODADDY.COM, LLC
                    androidchats.com|      2011-03-27|                                                REGISTER.IT SPA
                    androidclown.com|      2015-07-02|                                               GODADDY.COM, LLC
                androidcommunity.com|      2007-11-05|                                                ONLINENIC, INC.
               androidconcepts.co.uk|      2016-08-26|                              GODADDY.COM, LLP. [TAG = GODADDY]
             androidconstruction.com|      2011-03-15|                                               GODADDY.COM, LLC
               androidconsulting.com|      2006-09-14|           CSL COMPUTER SERVICE LANGENBACH GMBH D/B/A JOKER.COM
               androidconsulting.com|      2006-09-14|           CSL COMPUTER SERVICE LANGENBACH GMBH D/B/A JOKER.COM
                  androidcopilot.com|      2016-11-20|                                                ONLINENIC, INC.
                   androidcorner.net|      2016-05-25|                                                  CV. JOGJACAMP
                   androidcourses.ie|      2014-04-03|                                                               
                 androidcracks4u.com|      2011-09-10|                                               GODADDY.COM, LLC
                  androidcreated.com|      2011-01-04|                                                     ENOM, INC.
                  androiddance.co.uk|      2016-01-11|    HEART INTERNET LTD T/A HEART INTERNET [TAG = HEARTINTERNET]
                  androiddentist.com|      2015-07-14|                                               GODADDY.COM, LLC
                  androiddetecter.in|      2016-03-31|                                   GODADDY.COM, LLC (R101-AFIN)
                    androideasily.in|      2017-06-01|                   ENDURANCE DOMAINS TECHNOLOGY LLP (R173-AFIN)
                   androideasybr.com|      2017-08-03|                        PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
              androideatsrecords.com|      2007-01-04|                                               GODADDY.COM, LLC
                    androidegypt.com|      2012-04-05|                                                FASTDOMAIN INC.
                     androidelec.com|      2011-03-16|                                               GODADDY.COM, LLC
                  androidemotion.com|      2015-07-14|                                               GODADDY.COM, LLC
                 androidemotions.com|      2015-07-14|                                               GODADDY.COM, LLC
                androidetiquette.com|      2016-03-31|                                               GODADDY.COM, LLC
                 androidexpert.co.uk|      2014-07-12|                              GODADDY.COM, LLP. [TAG = GODADDY]
                androidexperts.co.uk|      2016-01-23|                              GODADDY.COM, LLP. [TAG = GODADDY]
                   androidfasito.com|      2019-07-09|                               NETEARTH ONE INC. D/B/A NETEARTH
                     androidfear.com|      2015-03-15|                                               GODADDY.COM, LLC
              androidflashfilebd.com|      2018-01-16|                                                 NAMECHEAP INC.
               androidflashtools.com|      2017-05-09|                                                 NAMECHEAP INC.
                androidforiphone.com|      2017-01-25|                                               GODADDY.COM, LLC
